doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
return-by-change-of-mind,data/shopee-return-refund/return-by-change-of-mind.md,Điều kiện trả hàng do đổi ý,https://help.shopee.vn/portal/4/article/204305-Những-điều-cần-biết-về-Trả-hàng-do-%22Đổi-ý/không-còn-nhu-cầu%22?previousPage=secondary%20category,2026-09-20,not-stated,source-and-permission-to-verify
general-return-refund-rules,data/shopee-return-refund/general-return-refund-rules.md,Quy định chung về trả hàng và hoàn tiền,https://help.shopee.vn/s/article/Ch%C3%ADnh-s%C3%A1ch-tr%E1%BA%A3-h%C3%A0ng-c%E1%BB%A7a-Shopee-l%C3%A0-g%C3%AC-1542942384513,2026-09-20,not-stated,source-and-permission-to-verify
restricted-return-products,data/shopee-return-refund/restricted-return-products.md,Sản phẩm hạn chế trả hàng,https://help.shopee.vn/portal/4/article/79465,2026-09-20,not-stated,source-and-permission-to-verify
return-refund-evidence,data/shopee-return-refund/return-refund-evidence.md,Bằng chứng khi yêu cầu trả hàng và hoàn tiền,https://help.shopee.vn/vn/s/article/Khi-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng-Ho%C3%A0n-ti%E1%BB%81n-ng%C6%B0%E1%BB%9Di-mua-c%E1%BA%A7n-cung-c%E1%BA%A5p-nh%E1%BB%AFng-b%E1%BA%B1ng-ch%E1%BB%A9ng-g%C3%AC,2026-09-20,not-stated,source-and-permission-to-verify
submit-return-refund-request,data/shopee-return-refund/submit-return-refund-request.md,Cách gửi yêu cầu trả hàng và hoàn tiền,https://help.shopee.vn/s/article/lam-the-nao-de-yeu-cau-tra-hang-hoan-tien-cho-san-pham,2026-09-20,not-stated,source-and-permission-to-verify
track-return-request,data/shopee-return-refund/track-return-request.md,Theo dõi yêu cầu trả hàng,https://help.shopee.vn/s/article/tra-hang-lam-sao-de-kiem-tra-trang-thai-don-hang-hoan-ve-cho-nguoi-ban,2026-09-20,not-stated,source-and-permission-to-verify
review-return-request,data/shopee-return-refund/review-return-request.md,Shopee xem xét yêu cầu trả hàng,https://help.shopee.vn/s/article/shopee-se-xu-ly-yeu-cau-tra-hang-hoan-tien-cua-toi-nhu-the-nao,2026-09-20,not-stated,source-and-permission-to-verify
return-shipping-packaging-fees,data/shopee-return-refund/return-shipping-packaging-fees.md,"Đóng gói, gửi trả hàng và phí trả hàng",https://help.shopee.vn/s/article/H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-tr%E1%BA%A3-h%C3%A0ng-d%C3%A0nh-cho-Ng%C6%B0%E1%BB%9Di-mua,2026-09-20,not-stated,source-and-permission-to-verify
seller-refund-dispute,data/shopee-return-refund/seller-refund-dispute.md,Người bán khiếu nại hoàn tiền,https://help.shopee.vn/s/article/nguoi-ban-se-lam-gi-sau-khi-nhan-duoc-yeu-cau-cua-toi,2026-09-20,not-stated,source-and-permission-to-verify
refund-timing-and-methods,data/shopee-return-refund/refund-timing-and-methods.md,Thời gian và phương thức hoàn tiền,https://help.shopee.vn/s/article/Sau-khi-g%E1%BB%ADi-y%C3%AAu-c%E1%BA%A7u-tr%E1%BA%A3-h%C3%A0ng-trong-bao-l%C3%A2u-t%C3%B4i-s%E1%BA%BD-nh%E1%BA%ADn-%C4%91%C6%B0%E1%BB%A3c-ti%E1%BB%81n-ho%C3%A0n-tr%E1%BA%A3-1542942531227,2026-09-20,not-stated,source-and-permission-to-verify
